ID,Status,Direction,"Created on","Finished on","Source fee amount","Source fee currency","Target fee amount","Target fee currency","Source name","Source amount (after fees)","Source currency","Target name","Target amount (after fees)","Target currency","Exchange rate",Reference,Batch,"Created by",Category,Note
"BALANCE_TRANSACTION-5169329343",COMPLETED,NEUTRAL,"2026-04-23 19:32:43","2026-04-23 19:32:43",11.68,USD,,,"LEADS PILOT LLC",6488.32,USD,"LEADS PILOT LLC",9095.59,AUD,1.4018400000000000,,,"MUHAMMAD HISHAM",General,
"BALANCE_TRANSACTION-5169325868",COMPLETED,NEUTRAL,"2026-04-23 19:31:47","2026-04-23 19:31:47",22.79,AUD,,,"LEADS PILOT LLC",9112.58,AUD,"LEADS PILOT LLC",6500.00,USD,0.7133000000000000,,,"MUHAMMAD HISHAM",General,
"CARD_TRANSACTION-3708053078",COMPLETED,OUT,"2026-04-23 18:30:14","2026-04-23 18:30:14",,,,,"LEADS PILOT LLC",0.00,USD,Airbnb,0.00,USD,1,,,"MUHAMMAD HISHAM",Travel,
"CARD_TRANSACTION-3707913787",COMPLETED,OUT,"2026-04-23 17:47:05","2026-04-23 17:47:05",,,,,"LEADS PILOT LLC",0.00,USD,Airbnb,0.00,USD,1,,,"MUHAMMAD HISHAM",Travel,
"CARD_TRANSACTION-3707912950",CANCELLED,OUT,"2026-04-23 17:46:50","2026-04-23 17:46:50",,,,,"LEADS PILOT LLC",1.00,USD,Airbnb,1.00,USD,1,,,"MUHAMMAD HISHAM",Travel,
"CARD_TRANSACTION-3707912915",CANCELLED,OUT,"2026-04-23 17:46:49","2026-04-23 17:46:49",,,,,"LEADS PILOT LLC",0.00,USD,Airbnb,0.00,USD,1,,,"MUHAMMAD HISHAM",Travel,
"CARD_TRANSACTION-3707837282",COMPLETED,OUT,"2026-04-23 17:24:53","2026-04-23 17:24:53",,,,,"LEADS PILOT LLC",0.00,USD,Airbnb,0.00,USD,1,,,"MUHAMMAD HISHAM",Travel,
"CARD_TRANSACTION-3707830203",COMPLETED,OUT,"2026-04-23 17:22:52","2026-04-23 17:22:52",,,,,"LEADS PILOT LLC",0.00,USD,Airbnb,0.00,USD,1,,,"MUHAMMAD HISHAM",Travel,
TRANSFER-2093284448,COMPLETED,IN,"2026-04-23 17:22:00","2026-04-23 17:22:04",,,,,"Divisible Inc",9502.47,AUD,"LEADS PILOT LLC",9502.47,AUD,1,,,,"Money added",
"CARD_TRANSACTION-3707586916",COMPLETED,OUT,"2026-04-23 16:15:13","2026-04-23 16:15:13",1.63,AUD,,,"LEADS PILOT LLC",651.38,AUD,Fanbasis.com,466.00,USD,0.7154000000000000,,,"MUHAMMAD HISHAM",General,
TRANSFER-2093055217,COMPLETED,IN,"2026-04-23 15:02:27","2026-04-23 15:02:31",,,,,"Divisible Inc",2701.09,AUD,"LEADS PILOT LLC",2701.09,AUD,1,,,,"Money added",
"CARD_TRANSACTION-3707288607",CANCELLED,OUT,"2026-04-23 15:01:11","2026-04-23 15:01:11",,,,,"LEADS PILOT LLC",446.00,USD,Fanbasis,446.00,USD,1,,,"MUHAMMAD HISHAM",General,
"CARD_TRANSACTION-3707288509",CANCELLED,OUT,"2026-04-23 15:01:09","2026-04-23 15:01:09",,,,,"LEADS PILOT LLC",446.00,USD,Fanbasis.com,446.00,USD,1,,,"MUHAMMAD HISHAM",General,
"CARD_TRANSACTION-3706534504",COMPLETED,OUT,"2026-04-23 11:38:43","2026-04-23 11:38:43",1.74,AUD,,,"LEADS PILOT LLC",694.03,AUD,"Signal House SMS",495.47,USD,0.7139000000000000,,,"MUHAMMAD HISHAM","Contract services",
"CARD_TRANSACTION-3706534504",COMPLETED,OUT,"2026-04-23 11:38:43","2026-04-23 11:38:43",0.01,GBP,,,"LEADS PILOT LLC",3.36,GBP,"Signal House SMS",4.53,USD,1.3494500000000000,,,"MUHAMMAD HISHAM","Contract services",
"CARD_TRANSACTION-3704827391",CANCELLED,OUT,"2026-04-22 23:59:32","2026-04-22 23:59:32",,,,,"LEADS PILOT LLC",297.00,USD,HighLevel,297.00,USD,1,,,"MUHAMMAD HISHAM","Software and web hosting",
TRANSFER-2091752144,COMPLETED,OUT,"2026-04-22 21:43:37","2026-04-22 23:07:21",12.29,AUD,,,"LEADS PILOT LLC",2270.45,AUD,"ZEESHAN SHABBIR",454000.0,PKR,199.96,,,"MUHAMMAD HISHAM",General,
TRANSFER-2091751103,COMPLETED,IN,"2026-04-22 21:42:34","2026-04-22 21:42:38",,,,,"Divisible Inc",2702.21,AUD,"LEADS PILOT LLC",2702.21,AUD,1,,,,"Money added",
"CARD_TRANSACTION-3704589347",COMPLETED,OUT,"2026-04-22 21:28:23","2026-04-22 21:28:23",0.00,GBP,,,"LEADS PILOT LLC",2315.98,GBP,"Al Rehlat",2315.98,GBP,1.0000000000000000,,,"MUHAMMAD HISHAM",Travel,
